@relation lucene-question-results

@attribute lucenerank numeric
@attribute lucenescore numeric
@attribute correct {yes,no}

@data
10,0.4221923649,no
11,0.4111960232,no
12,0.3995156288,no
13,0.3931637406,no
14,0.3929154575,no
15,0.3734228313,no
16,0.3724422157,no
17,0.3700561225,no
18,0.3541783392,no
19,0.3436780572,no
20,0.3433672786,no
1,0.8339394331,yes
2,0.4687821865,no
3,0.4677477479,yes
4,0.4454303384,no
5,0.4409380257,yes
6,0.4391534925,no
7,0.4163920283,no
8,0.4052806199,no
9,0.3933542967,no
10,0.3740208745,no
11,0.3701259196,no
12,0.3598715365,no
13,0.3525075316,no
14,0.3519549668,no
15,0.3449722826,no
16,0.3437730968,no
17,0.3367318213,no
18,0.3336899579,no
19,0.3317644298,no
20,0.3293922544,no
1,0.7294436097,no
2,0.6278804541,no
3,0.6091088653,no
4,0.5209429264,no
5,0.5164116025,yes
6,0.5111967325,no
7,0.5106105208,no
8,0.5076553822,no
9,0.503834486,no
10,0.4864513874,no
11,0.4864513874,no
12,0.4847894311,no
13,0.4768594205,no
14,0.4669344723,no
15,0.4529587328,no
16,0.4483275414,no
17,0.4421920478,no
18,0.4417251945,no
19,0.4416516423,no
20,0.4378509223,no
1,0.3573510051,no
2,0.3266874254,no
3,0.3119899035,no
4,0.3090932071,no
5,0.2984400094,no
6,0.2590696514,no
7,0.2549242079,no
8,0.2503220737,no
9,0.2474709302,no
10,0.2469521761,yes
11,0.2425683886,no
12,0.2397568524,no
13,0.239324674,no
14,0.235558942,yes
15,0.2337014526,no
16,0.2321367413,no
17,0.2309600711,no
18,0.2269442528,no
19,0.2233871073,no
20,0.2216584235,no
1,0.5912777185,no
2,0.5489296317,no
3,0.4753380418,no
4,0.473492533,no
5,0.4717790484,yes
6,0.4597429931,no
7,0.4580818713,no
8,0.4425321519,no
9,0.4160596132,no
10,0.4004822671,no
11,0.3938346803,no
12,0.3807925582,no
13,0.3738715649,no
14,0.3673419654,no
15,0.3655987978,no
16,0.3618608117,no
17,0.3578001559,no
18,0.3535170853,no
19,0.3533722162,no
20,0.3506080508,no
1,0.4306074083,no
2,0.3618929088,yes
3,0.3431839347,yes
4,0.3243657053,no
5,0.3149558306,no
6,0.2926343977,no
7,0.291478157,no
8,0.2817349732,no
9,0.26181826,no
10,0.256413281,no
11,0.2520353794,no
12,0.2513361275,no
13,0.2508439422,no
14,0.2482110113,no
15,0.2451702356,no
16,0.2446095347,no
17,0.2428159416,no
18,0.2326475978,no
19,0.2263663262,no
20,0.2250890881,no
1,0.7767243385,no
2,0.6839875579,no
3,0.6192145348,no
4,0.6025521159,no
5,0.5861302018,no
6,0.5858188272,yes
7,0.5765994191,no
8,0.5612691641,no
9,0.5355206728,no
10,0.5032410026,no
11,0.4907445908,no
12,0.488453418,no
13,0.4823642075,no
14,0.4810072184,no
15,0.4778321087,yes
16,0.4674394131,no
17,0.4604269266,no
18,0.4459483325,no
19,0.4421563447,no
20,0.4420250654,no
