@relation indri-question-results

@attribute indrirank numeric
@attribute indriscore numeric
@attribute correct {yes,no}

@data
13,-8.1665864589,no
14,-8.1682720956,no
15,-8.17012489,no
16,-8.1741897005,no
17,-8.1771722977,no
18,-8.1941891587,no
19,-8.1987865289,no
20,-8.1989525092,no
1,-7.8931517988,no
2,-7.9610881155,no
3,-8.0090602755,no
4,-8.0782378446,no
5,-8.0903701251,no
6,-8.1028374392,no
7,-8.1170693086,no
8,-8.1212019211,no
9,-8.125975877,no
10,-8.1277124577,no
11,-8.1367227862,no
12,-8.1367437102,no
13,-8.1391131361,no
14,-8.1429210339,no
15,-8.1447506699,no
16,-8.1480832484,no
17,-8.1488214475,no
18,-8.149234525,no
19,-8.1530088163,no
20,-8.1532861484,yes
1,-7.4177566569,no
2,-7.454992485,no
3,-7.5493227508,no
4,-7.5651852407,yes
5,-7.5731127685,no
6,-7.588359515,no
7,-7.6143762385,no
8,-7.6196610544,no
9,-7.6223975816,no
10,-7.6470707037,no
11,-7.66064418,no
12,-7.6761833185,yes
13,-7.687644479,no
14,-7.6901146304,no
15,-7.7276749313,no
16,-7.7337500958,no
17,-7.7360377921,no
18,-7.7444441347,no
19,-7.7625497614,no
20,-7.7661938633,no
1,-8.0170672377,no
2,-8.0334779657,no
3,-8.0794930006,yes
4,-8.0851716362,no
5,-8.122625867,no
6,-8.1750952537,no
7,-8.1818084793,no
8,-8.1901107374,no
9,-8.1920659424,no
10,-8.2073671724,no
11,-8.2159599405,no
12,-8.2190431218,no
13,-8.2510909974,no
14,-8.2609119933,no
15,-8.2719489519,no
16,-8.2740038547,no
17,-8.2932384516,no
18,-8.2939217234,no
19,-8.3014756652,no
20,-8.3120632148,no
1,-8.3117746089,no
2,-8.5290812831,no
3,-8.5987920466,no
4,-8.6056407111,no
5,-8.6191651188,no
6,-8.6236365781,no
7,-8.6337414514,no
8,-8.6358897834,no
9,-8.6866961192,no
10,-8.6880366052,no
11,-8.6988666548,no
12,-8.6995158083,no
13,-8.7006002804,no
14,-8.7051705161,no
15,-8.7111630659,no
16,-8.7226852786,no
17,-8.7296057161,yes
18,-8.7300306389,no
19,-8.7327814034,no
20,-8.737066972,no
1,-7.1426390207,no
2,-7.7597863576,no
3,-7.8483871305,no
4,-7.9946408947,no
5,-8.0466444823,yes
6,-8.2337092205,no
7,-8.2417662066,no
8,-8.2437922945,yes
9,-8.2600656736,no
10,-8.2614187677,no
11,-8.2720583077,no
12,-8.2859387134,no
13,-8.2999862062,no
14,-8.3275663806,no
15,-8.3458758811,no
16,-8.3482478777,no
17,-8.3759461584,no
18,-8.3767561516,no
19,-8.4229253798,no
20,-8.4231011711,no
1,-8.4623130576,no
2,-8.5233719602,no
3,-8.6642084735,no
4,-8.6947616632,no
5,-8.6953300065,no
6,-8.7526391525,no
7,-8.9196092649,no
8,-9.0059423671,no
9,-9.0336644616,no
10,-9.1182200201,no
11,-9.1295816259,no
12,-9.17897753,yes
13,-9.1818043097,no
14,-9.2154054045,no
15,-9.2176270545,no
16,-9.2252855873,no
17,-9.226827247,no
18,-9.2369857299,no
19,-9.2518365135,no
20,-9.2586899837,no
1,-7.3535960311,yes
2,-7.4623773368,no
3,-7.4629756781,no
4,-7.5385800657,no
5,-7.5401357447,no
6,-7.5523000888,no
7,-7.569929547,no
8,-7.5900381495,no
9,-7.5990742091,no
10,-7.6088098192,no
11,-7.6105367866,no
12,-7.6153433945,no
13,-7.6160565424,no
14,-7.6265324141,no
15,-7.6444934229,no
16,-7.6536529793,no
17,-7.6632287062,no
18,-7.6808758519,no
19,-7.6811148166,no
20,-7.6916902968,no
1,-8.8962346301,no
2,-9.004649296,no
3,-9.0607278361,no
4,-9.1014647812,no
5,-9.1498488469,no
6,-9.2101406753,no
7,-9.2224489874,no
8,-9.229763164,no
9,-9.2447408769,no
10,-9.2459037118,no
11,-9.247424128,no
12,-9.2494329058,no
13,-9.2689278711,no
14,-9.27669426,no
15,-9.2846011801,no
16,-9.3309536912,no
17,-9.3330152061,no
18,-9.3389920559,no
19,-9.348110025,yes
20,-9.3510878828,no
1,-7.0756829279,no
2,-7.0967697144,no
3,-7.1476503181,no
4,-7.2497106863,no
5,-7.3741971126,yes
6,-7.3831622411,no
7,-7.4017615772,no
8,-7.402262448,no
9,-7.4418319663,no
10,-7.4610624595,no
11,-7.5517117288,no
12,-7.5609815671,no
13,-7.5611028593,no
14,-7.5664810953,no
15,-7.5764670621,no
16,-7.5823500808,no
17,-7.6034175408,no
18,-7.6040178518,no
19,-7.6062887568,no
20,-7.6157354682,no
1,-8.6388214255,no
2,-8.7175632002,no
3,-8.730534509,no
4,-8.7588551908,no
5,-8.7704203273,no
6,-8.8167202169,no
7,-8.8255247118,no
8,-8.8315429911,no
9,-8.8332988131,no
10,-8.8455759553,no
11,-8.8502270889,no
12,-8.8657891595,no
13,-8.8881237568,yes
14,-8.8960630052,no
15,-8.9106709723,no
16,-8.9174283645,yes
17,-8.9181421104,no
18,-8.920144176,no
19,-8.9228834046,no
20,-8.9268887355,no
1,-8.0483050211,no
2,-8.0643680219,yes
3,-8.1936528057,no
4,-8.2340352555,no
5,-8.2531924288,no
6,-8.3254304317,no
7,-8.3762119707,no
8,-8.4161230757,no
9,-8.5014404007,no
10,-8.5589913635,no
11,-8.5980355823,no
12,-8.6145001165,no
13,-8.6204672814,no
14,-8.6302134636,no
15,-8.6355658647,no
16,-8.6418310059,no
17,-8.6570572785,no
18,-8.657460372,no
19,-8.6648137423,no
20,-8.6695958186,yes
1,-7.4874003295,no
2,-7.4980841517,no
3,-7.526104425,no
4,-7.5488266371,no
5,-7.5718180838,no
6,-7.6249424464,no
7,-7.6270922879,no
8,-7.6299255586,no
9,-7.6332767947,yes
10,-7.6455229721,no
11,-7.6457613897,no
12,-7.6494138521,no
13,-7.6575238488,no
14,-7.6692807449,no
15,-7.6709741785,no
16,-7.6720487167,no
17,-7.6772379447,no
18,-7.67960865,no
19,-7.6854735485,no
20,-7.6865964875,no
1,-7.7446760136,no
2,-7.7506549776,no
3,-7.9231833614,no
